"Customer Name","Order ID",Sales
"Claire Gute",CA-2016-152156,731.94
"Claire Gute",CA-2016-152156,731.94
"Claire Gute",CA-2016-152156,731.94
"Sean O'Donnell",US-2015-108966,957.58
"Sean O'Donnell",US-2015-108966,957.58
"Sean O'Donnell",US-2015-108966,957.58
"Sean O'Donnell",US-2015-108966,957.58
"Sean O'Donnell",US-2015-108966,957.58
"Sean O'Donnell",US-2015-108966,957.58
"Emily Burns",CA-2015-106320,1044.63
"Emily Burns",CA-2015-106320,1044.63
"Emily Burns",CA-2015-106320,1044.63
"Emily Burns",CA-2015-106320,1044.63
"Emily Burns",CA-2015-106320,1044.63
"Emily Burns",CA-2015-106320,1044.63
"Emily Burns",CA-2015-106320,1044.63
"Emily Burns",CA-2015-106320,1044.63
"Emily Burns",CA-2015-106320,1044.63
"Emily Burns",CA-2015-106320,1044.63
"Tracy Blumstein",US-2015-150630,3083.43
"Tracy Blumstein",US-2015-150630,3083.43
"Tracy Blumstein",US-2015-150630,3083.43
"Tracy Blumstein",US-2015-150630,3083.43
"Tracy Blumstein",US-2015-150630,3083.43
"Tracy Blumstein",US-2015-150630,3083.43
"Tracy Blumstein",US-2015-150630,3083.43
"Tracy Blumstein",US-2015-150630,3083.43
"Tracy Blumstein",US-2015-150630,3083.43
"Steve Nguyen",CA-2015-117415,532.4
"Steve Nguyen",CA-2015-117415,532.4
"Steve Nguyen",CA-2015-117415,532.4
"Steve Nguyen",CA-2015-117415,532.4
"Steve Nguyen",CA-2015-117415,532.4
"Steve Nguyen",CA-2015-117415,532.4
"Steve Nguyen",CA-2015-117415,532.4
"Janet Molinari",CA-2016-105816,1029.95
"Janet Molinari",CA-2016-105816,1029.95
"Janet Molinari",CA-2016-105816,1029.95
"Janet Molinari",CA-2016-105816,1029.95
"Janet Molinari",CA-2016-105816,1029.95
"Ted Butterfield",CA-2016-111682,319.41
"Ted Butterfield",CA-2016-111682,319.41
"Ted Butterfield",CA-2016-111682,319.41
"Ted Butterfield",CA-2016-111682,319.41
"Ted Butterfield",CA-2016-111682,319.41
"Pete Armstrong",CA-2015-129476,339.96
"Pete Armstrong",CA-2015-129476,339.96
"Pete Armstrong",CA-2015-129476,339.96
"Pete Armstrong",CA-2015-129476,339.96
"Pete Armstrong",CA-2015-129476,339.96
"Pete Armstrong",CA-2015-129476,339.96
"Helen Andreada",CA-2015-110744,671.93
